#   <copyright 
#    notice="oco-source" 
#    pids="5724-H72,5655-R36,5655-L82,5724-L26," 
#    years="1997,2012" 
#    crc="338574817" > 
#    IBM Confidential 
#     
#    OCO Source Materials 
#     
#    5724-H72,5655-R36,5655-L82,5724-L26, 
#     
#    (C) Copyright IBM Corp. 1997, 2012 
#     
#    The source code for the program is not published 
#    or otherwise divested of its trade secrets, 
#    irrespective of what has been deposited with the 
#    U.S. Copyright Office. 
#    </copyright> 
#  %Z% %W% %I% %E% %U%
#________________________________________________________________________
#
# (C) COPYRIGHT International Business Machines Corp. 1997
#     All Rights Reserved
#
#________________________________________________________________________
#
# Name:            Mapping table from IBM CCSID 930 to ISO 10646
#
# Creation date:   Fri Apr 25 15:03:10 1997
#
# Table Version:   
#
# Table Owner:     NLTC, IBM Canada Ltd.
#
# Table Format:
#                  Columns separated by spaces:
#                    Col1: (pos.  1-4  ) IBM CCSID 930 code in hex
#                    Col2: (pos. 14-17 ) ISO 10646 code in hex
#                    Col3: (pos. 27-34 ) IBM GCGID
# Substitution  :
#             U+001A     for SBCS
#             U+FFFD     for DBCS
#
# Extracted by:    dextract (Version 1.00)
#
# Extracted from:  IBMJ2UCS.NNEW111
#
# PUA used:        NO
#
# Round-Trip:      YES
#
# Sorting:         The entries are in IBM CCSID 930 order
#
#________________________________________________________________________
# IBM-930    UCS-2        GCGID
00           0000
01           0001
02           0002
03           0003
04           009C
05           0009
06           0086
07           007F
08           0097
09           008D
0A           008E
0B           000B
0C           000C
0D           000D
0E           000E
0F           000F
10           0010
11           0011
12           0012
13           0013
14           009D
15           0085
16           0008
17           0087
18           0018
19           0019
1A           0092
1B           008F
1C           001C
1D           001D
1E           001E
1F           001F
20           0080
21           0081
22           0082
23           0083
24           0084
25           000A
26           0017
27           001B
28           0088
29           0089
2A           008A
2B           008B
2C           008C
2D           0005
2E           0006
2F           0007
30           0090
31           0091
32           0016
33           0093
34           0094
35           0095
36           0096
37           0004
38           0098
39           0099
3A           009A
3B           009B
3C           0014
3D           0015
3E           009E
3F           001A
40           0020         SP010000
41           FF61         JQ700000
42           FF62         JQ710000
43           FF63         JQ720000
44           FF64         JQ730000
45           FF65         JQ740000
46           FF66         JW500000
47           FF67         JA010000
48           FF68         JI010000
49           FF69         JU010000
4A           00A3         SC020000
4B           002E         SP110000
4C           003C         SA030000
4D           0028         SP060000
4E           002B         SA010000
4F           007C         SM130000
50           0026         SM030000
51           FF6A         JE010000
52           FF6B         JO010000
53           FF6C         JY110000
54           FF6D         JY310000
55           FF6E         JY510000
56           FF6F         JT310000
58           FF70         JX700000
5A           0021         SP020000
5B           00A5         SC050000
5C           002A         SM040000
5D           0029         SP070000
5E           003B         SP140000
5F           00AC         SM660000
60           002D         SP100000
61           002F         SP120000
62           0061         LA010000
63           0062         LB010000
64           0063         LC010000
65           0064         LD010000
66           0065         LE010000
67           0066         LF010000
68           0067         LG010000
69           0068         LH010000
6B           002C         SP080000
6C           0025         SM020000
6D           005F         SP090000
6E           003E         SA050000
6F           003F         SP150000
70           005B         SM060000
71           0069         LI010000
72           006A         LJ010000
73           006B         LK010000
74           006C         LL010000
75           006D         LM010000
76           006E         LN010000
77           006F         LO010000
78           0070         LP010000
79           0060         SD130000
7A           003A         SP130000
7B           0023         SM010000
7C           0040         SM050000
7D           0027         SP050000
7E           003D         SA040000
7F           0022         SP040000
80           005D         SM080000
81           FF71         JA000000
82           FF72         JI000000
83           FF73         JU000000
84           FF74         JE000000
85           FF75         JO000000
86           FF76         JK100000
87           FF77         JK200000
88           FF78         JK300000
89           FF79         JK400000
8A           FF7A         JK500000
8B           0071         LQ010000
8C           FF7B         JS100000
8D           FF7C         JS200000
8E           FF7D         JS300000
8F           FF7E         JS400000
90           FF7F         JS500000
91           FF80         JT100000
92           FF81         JT200000
93           FF82         JT300000
94           FF83         JT400000
95           FF84         JT500000
96           FF85         JN100000
97           FF86         JN200000
98           FF87         JN300000
99           FF88         JN400000
9A           FF89         JN500000
9B           0072         LR010000
9D           FF8A         JH100000
9E           FF8B         JH200000
9F           FF8C         JH300000
A0           007E         SD190000
A1           203E         SM150000
A2           FF8D         JH400000
A3           FF8E         JH500000
A4           FF8F         JM100000
A5           FF90         JM200000
A6           FF91         JM300000
A7           FF92         JM400000
A8           FF93         JM500000
A9           FF94         JY100000
AA           FF95         JY300000
AB           0073         LS010000
AC           FF96         JY500000
AD           FF97         JR100000
AE           FF98         JR200000
AF           FF99         JR300000
B0           005E         SD150000
B1           00A2         SC040000
B2           005C         SM070000
B3           0074         LT010000
B4           0075         LU010000
B5           0076         LV010000
B6           0077         LW010000
B7           0078         LX010000
B8           0079         LY010000
B9           007A         LZ010000
BA           FF9A         JR400000
BB           FF9B         JR500000
BC           FF9C         JW100000
BD           FF9D         JN000000
BE           FF9E         JX710000
BF           FF9F         JX720000
C0           007B         SM110000
C1           0041         LA020000
C2           0042         LB020000
C3           0043         LC020000
C4           0044         LD020000
C5           0045         LE020000
C6           0046         LF020000
C7           0047         LG020000
C8           0048         LH020000
C9           0049         LI020000
D0           007D         SM140000
D1           004A         LJ020000
D2           004B         LK020000
D3           004C         LL020000
D4           004D         LM020000
D5           004E         LN020000
D6           004F         LO020000
D7           0050         LP020000
D8           0051         LQ020000
D9           0052         LR020000
E0           0024         SC030000
E2           0053         LS020000
E3           0054         LT020000
E4           0055         LU020000
E5           0056         LV020000
E6           0057         LW020000
E7           0058         LX020000
E8           0059         LY020000
E9           005A         LZ020000
F0           0030         ND100000
F1           0031         ND010000
F2           0032         ND020000
F3           0033         ND030000
F4           0034         ND040000
F5           0035         ND050000
F6           0036         ND060000
F7           0037         ND070000
F8           0038         ND080000
F9           0039         ND090000
FF           009F
4040         3000         SP010080
4141         03B1         GA010080
4142         03B2         GB010080
4143         03B3         GG010080
4144         03B4         GD010080
4145         03B5         GE010080
4146         03B6         GZ010080
4147         03B7         GE310080
4148         03B8         GT610082
4149         03B9         GI010080
414A         03BA         GK010080
414B         03BB         GL010080
414C         03BC         GM010080
414D         03BD         GN010080
414E         03BE         GX010080
414F         03BF         GO010080
4150         03C0         GP010080
4151         03C1         GR010080
4152         03C3         GS010080
4153         03C4         GT010080
4154         03C5         GU010080
4155         03C6         GF010081
4156         03C7         GH010080
4157         03C8         GP610080
4158         03C9         GO310080
4161         0391         GA020080
4162         0392         GB020080
4163         0393         GG020080
4164         0394         GD020080
4165         0395         GE020080
4166         0396         GZ020080
4167         0397         GE320080
4168         0398         GT620080
4169         0399         GI020080
416A         039A         GK020080
416B         039B         GL020080
416C         039C         GM020080
416D         039D         GN020080
416E         039E         GX020080
416F         039F         GO020080
4170         03A0         GP020080
4171         03A1         GR020080
4172         03A3         GS020080
4173         03A4         GT020080
4174         03A5         GU020080
4175         03A6         GF020080
4176         03A7         GH020080
4177         03A8         GP620080
4178         03A9         GO320080
4180         0430         KA010080
4181         0431         KB010080
4182         0432         KV010080
4183         0433         KG010080
4184         0434         KD010080
4185         0435         KE010080
4186         0451         KE170080
4187         0436         KZ210080
4188         0437         KZ010080
4189         0438         KI010080
418A         0439         KJ110080
418B         043A         KK010080
418C         043B         KL010080
418D         043C         KM010080
418E         043D         KN010080
418F         043E         KO010080
4190         043F         KP010080
4191         0440         KR010080
4192         0441         KS010080
4193         0442         KT010080
4194         0443         KU010080
4195         0444         KF010080
4196         0445         KH010080
4197         0446         KC010080
4198         0447         KC210080
4199         0448         KS210080
419A         0449         KS150080
419B         044A         KU210080
419C         044B         KY010080
419D         044C         KX110080
419E         044D         KE130080
419F         044E         KU150080
41A0         044F         KA150080
41B1         2170         NR010080
41B2         2171         NR020080
41B3         2172         NR030080
41B4         2173         NR040080
41B5         2174         NR050080
41B6         2175         NR060080
41B7         2176         NR070080
41B8         2177         NR080080
41B9         2178         NR090080
41BA         2179         NR100080
41C0         0410         KA020080
41C1         0411         KB020080
41C2         0412         KV020080
41C3         0413         KG020080
41C4         0414         KD020080
41C5         0415         KE020080
41C6         0401         KE180080
41C7         0416         KZ220080
41C8         0417         KZ020080
41C9         0418         KI020080
41CA         0419         KJ120080
41CB         041A         KK020080
41CC         041B         KL020080
41CD         041C         KM020080
41CE         041D         KN020080
41CF         041E         KO020080
41D0         041F         KP020080
41D1         0420         KR020080
41D2         0421         KS020080
41D3         0422         KT020080
41D4         0423         KU020080
41D5         0424         KF020080
41D6         0425         KH020080
41D7         0426         KC020080
41D8         0427         KC220080
41D9         0428         KS220080
41DA         0429         KS160080
41DB         042A         KU220080
41DC         042B         KY020080
41DD         042C         KX120080
41DE         042D         KE140080
41DF         042E         KU160080
41E0         042F         KA160080
41F1         2160         NR110080
41F2         2161         NR120080
41F3         2162         NR130080
41F4         2163         NR140080
41F5         2164         NR150080
41F6         2165         NR160080
41F7         2166         NR170080
41F8         2167         NR180080
41F9         2168         NR190080
41FA         2169         NR200080
424A         FFE1         SC020080
424B         FF0E         SP110080
424C         FF1C         SA030080
424D         FF08         SP060080
424E         FF0B         SA010080
424F         FF5C         SM130080
4250         FF06         SM030080
425A         FF01         SP020080
425B         FFE5         SC050080
425C         FF0A         SM040080
425D         FF09         SP070080
425E         FF1B         SP140080
425F         FFE2         SM660080
4260         2212         SP100080
4261         FF0F         SP120080
426A         00A6         SM650080
426B         FF0C         SP080080
426C         FF05         SM020080
426D         FF3F         SP090080
426E         FF1E         SA050080
426F         FF1F         SP150080
4279         FF40         SD130080
427A         FF1A         SP130080
427B         FF03         SM010080
427C         FF20         SM050080
427D         FF07         SP050080
427E         FF1D         SA040080
427F         FF02         SP040080
4281         FF41         LA010080
4282         FF42         LB010080
4283         FF43         LC010080
4284         FF44         LD010080
4285         FF45         LE010080
4286         FF46         LF010080
4287         FF47         LG010080
4288         FF48         LH010080
4289         FF49         LI010080
4291         FF4A         LJ010080
4292         FF4B         LK010080
4293         FF4C         LL010080
4294         FF4D         LM010080
4295         FF4E         LN010080
4296         FF4F         LO010080
4297         FF50         LP010080
4298         FF51         LQ010080
4299         FF52         LR010080
42A1         FFE3         SM150080
42A2         FF53         LS010080
42A3         FF54         LT010080
42A4         FF55         LU010080
42A5         FF56         LV010080
42A6         FF57         LW010080
42A7         FF58         LX010080
42A8         FF59         LY010080
42A9         FF5A         LZ010080
42C0         FF5B         SM110080
42C1         FF21         LA020080
42C2         FF22         LB020080
42C3         FF23         LC020080
42C4         FF24         LD020080
42C5         FF25         LE020080
42C6         FF26         LF020080
42C7         FF27         LG020080
42C8         FF28         LH020080
42C9         FF29         LI020080
42D0         FF5D         SM140080
42D1         FF2A         LJ020080
42D2         FF2B         LK020080
42D3         FF2C         LL020080
42D4         FF2D         LM020080
42D5         FF2E         LN020080
42D6         FF2F         LO020080
42D7         FF30         LP020080
42D8         FF31         LQ020080
42D9         FF32         LR020080
42E0         FF04         SC030080
42E2         FF33         LS020080
42E3         FF34         LT020080
42E4         FF35         LU020080
42E5         FF36         LV020080
42E6         FF37         LW020080
42E7         FF38         LX020080
42E8         FF39         LY020080
42E9         FF3A         LZ020080
42F0         FF10         ND100080
42F1         FF11         ND010080
42F2         FF12         ND020080
42F3         FF13         ND030080
42F4         FF14         ND040080
42F5         FF15         ND050080
42F6         FF16         ND060080
42F7         FF17         ND070080
42F8         FF18         ND080080
42F9         FF19         ND090080
4341         3002         JQ700080
4342         300C         JQ710080
4343         300D         JQ720080
4344         3001         JQ730080
4345         30FB         JQ740080
4346         30F2         JW500080
4347         30A1         JA010080
4348         30A3         JI010080
4349         30A5         JU010080
434A         FFE0         SC040080
434B         2220         SA350088
434C         22A5         SA780080
434D         2312         SV420080
434E         2202         SA490080
434F         2207         SL030080
4351         30A7         JE010080
4352         30A9         JO010080
4353         30E3         JY110080
4354         30E5         JY310080
4355         30E7         JY510080
4356         30C3         JT310080
4357         30EE         JW110080
4358         30FC         JX700080
4359         30F5         JK110080
435A         30F6         JK410080
435B         2261         SA480080
435C         2252         SA700081
435D         226A         SA730080
435E         226B         SA740080
435F         221A         SA800080
4360         223D         SA830080
4361         221D         SA470080
4362         222B         SA510080
4363         222C         SA840080
4364         2208         SA670080
4365         220B         SA310080
4366         2286         SA240080
4367         2287         SA270080
4368         2282         SA400080
4369         2283         SA410080
436A         222A         SA390080
436B         2229         SA380080
436C         2227         SA330080
436D         2228         SA320080
436E         21D2         SM420080
436F         21D4         SM410080
4370         2200         SA210080
4371         2203         SA230080
4372         212B         SM220080
4373         2030         SM560080
4374         266F         SM880080
4375         266D         SM890080
4376         266A         SM930080
4377         2020         SM340080
4378         2021         SM350080
4379         00B6         SM250080
437A         25EF         SV220080
437C         2500         SF100080
437D         2502         SF110080
437E         250C         SF010080
437F         2510         SF030080
4381         30A2         JA000080
4382         30A4         JI000080
4383         30A6         JU000080
4384         30A8         JE000080
4385         30AA         JO000080
4386         30AB         JK100080
4387         30AD         JK200080
4388         30AF         JK300080
4389         30B1         JK400080
438A         30B3         JK500080
438C         30B5         JS100080
438D         30B7         JS200080
438E         30B9         JS300080
438F         30BB         JS400080
4390         30BD         JS500080
4391         30BF         JT100080
4392         30C1         JT200080
4393         30C4         JT300080
4394         30C6         JT400080
4395         30C8         JT500080
4396         30CA         JN100080
4397         30CB         JN200080
4398         30CC         JN300080
4399         30CD         JN400080
439A         30CE         JN500080
439D         30CF         JH100080
439E         30D2         JH200080
439F         30D5         JH300080
43A1         301C         SD190080
43A2         30D8         JH400080
43A3         30DB         JH500080
43A4         30DE         JM100080
43A5         30DF         JM200080
43A6         30E0         JM300080
43A7         30E1         JM400080
43A8         30E2         JM500080
43A9         30E4         JY100080
43AA         30E6         JY300080
43AC         30E8         JY500080
43AD         30E9         JR100080
43AE         30EA         JR200080
43AF         30EB         JR300080
43B0         2518         SF040080
43B1         2514         SF020080
43B2         251C         SF080080
43B3         252C         SF060080
43B4         2524         SF090080
43B5         2534         SF070080
43B6         253C         SF050080
43B7         2501         SF100082
43B8         2503         SF110082
43B9         250F         SF010082
43BA         30EC         JR400080
43BB         30ED         JR500080
43BC         30EF         JW100080
43BD         30F3         JN000080
43BE         309B         JX710080
43BF         309C         JX720080
43C0         30AC         JG100080
43C1         30AE         JG200080
43C2         30B0         JG300080
43C3         30B2         JG400080
43C4         30B4         JG500080
43C5         30B6         JZ100080
43C6         30B8         JZ200080
43C7         30BA         JZ300080
43C8         30BC         JZ400080
43C9         30BE         JZ500080
43CA         30C0         JD100080
43CB         30C2         JD200080
43CC         30C5         JD300080
43CD         30C7         JD400080
43CE         30C9         JD500080
43CF         30D0         JB100080
43D0         30D3         JB200080
43D1         30D6         JB300080
43D2         30D9         JB400080
43D3         30DC         JB500080
43D4         30F4         JV000080
43D5         30D1         JP100080
43D6         30D4         JP200080
43D7         30D7         JP300080
43D8         30DA         JP400080
43D9         30DD         JP500080
43DA         30F0         JW200080
43DB         30F1         JW400080
43DC         30FD         JQ750080
43DD         30FE         JQ760080
43E0         FF3C         SM070080
43E1         2513         SF030082
43E2         251B         SF040082
43E3         2517         SF020082
43E4         2523         SF080082
43E5         2533         SF060082
43E6         252B         SF090082
43E7         253B         SF070082
43E8         254B         SF050082
43E9         2520         SF080083
43EA         252F         SF060083
43EB         2528         SF090083
43EC         2537         SF070083
43ED         253F         SF050083
43EE         251D         SF080084
43EF         2530         SF060084
43F0         2525         SF090084
43F1         2538         SF070084
43F2         2542         SF050084
4442         300E         JQ710081
4443         300F         JQ720081
4444         FF3B         SM060080
4445         FF3D         SM080080
4446         3092         RW500080
4447         3041         RA010080
4448         3043         RI010080
4449         3045         RU010080
444A         2014         SM120080
444B         00B1         SA020080
444C         2260         SA540080
444D         221E         SA450080
444E         2103         SM440080
4450         00B4         SD110080
4451         3047         RE010080
4452         3049         RO010080
4453         3083         RY110080
4454         3085         RY310080
4455         3087         RY510080
4456         3063         RT310080
4457         308E         RW110080
445A         2010         SP320080
445B         3003         SV090081
445C         4EDD         SS760080
445D         3005         SS770080
445E         3006         SS720080
445F         3007         ND100087
4460         00A8         SD170080
4461         2018         SP190080
4462         201C         SP210080
4463         3014         SP060081
4464         3008         SP060082
4465         300A         SP060083
4466         3010         SP060084
4467         2266         SA520082
4468         2234         SA370080
4469         2642         SM280080
446A         00A7         SM240080
446B         203B         SM040088
446C         3012         SS730080
446D         3231         SS740080
446E         2116         SM000080
446F         2121         SS710080
4470         FF3E         SD150080
4471         2019         SP200080
4472         201D         SP220080
4473         3015         SP070081
4474         3009         SP070082
4475         300B         SP070083
4476         3011         SP070084
4477         2267         SA530082
4478         2235         SS540080
4479         2640         SM290080
447A         00D7         SA070080
447B         00F7         SA060080
447C         2016         SV370080
447D         3013         SS750080
447E         2025         SV430080
447F         2026         SV440080
4481         3042         RA000080
4482         3044         RI000080
4483         3046         RU000080
4484         3048         RE000080
4485         304A         RO000080
4486         304B         RK100080
